REGION,PARAM,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Śląskie,medycyna rodzinna,0.11,0.11,0.12,0.12,0.12,0.12,0.13,0.13,0.13,0.13,0.13,0.20,0.22,0.22
Świętokrzyskie,medycyna rodzinna,0.16,0.17,0.19,0.17,0.17,0.16,0.17,0.18,0.18,0.18,0.18,0.27,0.28,0.28
Warmińsko-Mazurskie,medycyna rodzinna,0.17,0.17,0.19,0.20,0.20,0.19,0.20,0.19,0.17,0.21,0.20,0.25,0.26,0.25
Wielkopolskie,medycyna rodzinna,0.07,0.07,0.09,0.07,0.09,0.08,0.07,0.08,0.07,0.07,0.07,0.22,0.23,0.23
Zachodniopomorskie,medycyna rodzinna,0.19,0.21,0.17,0.19,0.18,0.19,0.19,0.20,0.20,0.22,0.24,0.29,0.29,0.29
Polska,medycyna pracy,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.04,0.04,0.04
Dolnośląskie,medycyna pracy,0.03,0.03,0.03,0.02,0.02,0.02,0.03,0.03,0.03,0.02,0.02,0.05,0.05,0.05
Kujawsko-Pomorskie,medycyna pracy,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.02,0.02,0.04,0.03,0.04
Lubelskie,medycyna pracy,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.03,0.03,0.03
Lubuskie,medycyna pracy,0.02,0.01,0.02,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.03,0.03,0.03
Łódzkie,medycyna pracy,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.05,0.05,0.05
Małopolskie,medycyna pracy,0.01,0.02,0.02,0.02,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.03,0.03,0.03
Mazowieckie,medycyna pracy,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.02,0.05,0.04,0.05
Opolskie,medycyna pracy,0.02,0.01,0.01,0.00,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.05,0.04,0.04
Podkarpackie,medycyna pracy,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.03
Podlaskie,medycyna pracy,0.01,0.02,0.01,0.01,0.01,0.01,0.02,0.01,0.02,0.02,0.02,0.04,0.04,0.04
Pomorskie,medycyna pracy,0.03,0.03,0.03,0.03,0.01,0.02,0.03,0.03,0.03,0.03,0.03,0.04,0.04,0.04
Śląskie,medycyna pracy,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.06,0.06,0.06
Świętokrzyskie,medycyna pracy,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.05,0.05,0.05
Warmińsko-Mazurskie,medycyna pracy,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.03,0.02,0.03
Wielkopolskie,medycyna pracy,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.03,0.03,0.03
Zachodniopomorskie,medycyna pracy,0.02,0.01,0.02,0.02,0.01,0.02,0.02,0.02,0.03,0.03,0.03,0.03,0.03,0.03
Polska,neurologia,0.05,0.06,0.06,0.06,0.05,0.06,0.06,0.06,0.06,0.06,0.07,0.10,0.10,0.11
Dolnośląskie,neurologia,0.04,0.05,0.05,0.05,0.04,0.06,0.06,0.06,0.06,0.06,0.06,0.10,0.10,0.10
Kujawsko-Pomorskie,neurologia,0.05,0.05,0.06,0.06,0.05,0.06,0.06,0.06,0.06,0.07,0.08,0.08,0.09,0.09
Lubelskie,neurologia,0.06,0.07,0.08,0.07,0.06,0.08,0.07,0.07,0.07,0.08,0.08,0.13,0.14,0.14
Lubuskie,neurologia,0.05,0.05,0.05,0.05,0.04,0.05,0.06,0.05,0.05,0.05,0.05,0.07,0.07,0.06
Łódzkie,neurologia,0.05,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.06,0.06,0.06,0.11,0.11,0.11
Małopolskie,neurologia,0.04,0.05,0.05,0.05,0.05,0.06,0.06,0.06,0.06,0.06,0.06,0.08,0.09,0.09
Mazowieckie,neurologia,0.07,0.07,0.08,0.08,0.06,0.08,0.08,0.07,0.07,0.07,0.07,0.12,0.12,0.13
Opolskie,neurologia,0.04,0.05,0.05,0.05,0.05,0.06,0.06,0.06,0.05,0.05,0.06,0.07,0.08,0.07
Podkarpackie,neurologia,0.06,0.07,0.08,0.08,0.07,0.08,0.08,0.08,0.09,0.09,0.09,0.11,0.11,0.11
Podlaskie,neurologia,0.05,0.06,0.05,0.06,0.05,0.06,0.06,0.06,0.06,0.06,0.06,0.10,0.10,0.10
Pomorskie,neurologia,0.05,0.05,0.05,0.05,0.05,0.06,0.06,0.06,0.06,0.05,0.06,0.10,0.10,0.10
Śląskie,neurologia,0.07,0.08,0.07,0.07,0.07,0.07,0.08,0.07,0.07,0.07,0.07,0.12,0.12,0.12
Świętokrzyskie,neurologia,0.06,0.06,0.06,0.06,0.06,0.06,0.07,0.07,0.07,0.07,0.07,0.10,0.10,0.10
Warmińsko-Mazurskie,neurologia,0.05,0.05,0.06,0.06,0.06,0.05,0.06,0.06,0.06,0.07,0.07,0.08,0.08,0.09
Wielkopolskie,neurologia,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.04,0.08,0.08,0.09
Zachodniopomorskie,neurologia,0.04,0.05,0.05,0.04,0.04,0.05,0.05,0.05,0.05,0.05,0.06,0.07,0.07,0.07
Polska,endokrynologia,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.09,0.04,0.04
Dolnośląskie,endokrynologia,0.00,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.11,0.04,0.04
Kujawsko-pomorskie,endokrynologia,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.08,0.03,0.03
Lubelskie,endokrynologia,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.08,0.05,0.05
Lubuskie,endokrynologia,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.06,0.01,0.01
Łódzkie,endokrynologia,0.01,0.01,0.01,0.02,0.03,0.02,0.02,0.02,0.02,0.03,0.02,0.12,0.05,0.05
Małopolskie,endokrynologia,0.01,0.01,0.02,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.09,0.05,0.05
Mazowieckie,endokrynologia,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.12,0.07,0.07
Opolskie,endokrynologia,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.01,0.01,0.01,0.06,0.03,0.03
Podkarpackie,endokrynologia,0.01,0.01,0.02,0.02,0.02,0.01,0.02,0.02,0.02,0.02,0.01,0.06,0.03,0.03
Podlaskie,endokrynologia,0.01,0.01,0.02,0.01,0.02,0.02,0.01,0.02,0.01,0.01,0.01,0.09,0.05,0.05
Pomorskie,endokrynologia,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.09,0.05,0.05
